distanza_calcolata,distanza_reale,errore,tag_center_x,tag_center_y
0.58,0.45,0.13,171,119
0.58,0.45,0.13,139,125
0.55,0.46,0.09,99,136
0.54,0.47,0.07,59,149
0.53,0.48,0.05,17,166
0.54,0.46,0.08,32,159
0.54,0.45,0.09,62,148
0.55,0.45,0.1,91,137
0.58,0.44,0.14,127,127
0.58,0.44,0.14,162,118
0.6,0.44,0.16,197,110
0.63,0.43,0.2,231,105
0.64,0.43,0.21,265,101
0.66,0.44,0.22,299,99
0.66,0.44,0.22,327,99
0.66,0.44,0.22,357,100
0.66,0.43,0.23,388,102
0.65,0.4,0.25,417,106
0.63,0.37,0.26,446,119
0.55,0.32,0.23,455,152
0.48,0.29,0.19,461,189
0.41,0.25,0.16,468,229
0.33,0.23,0.1,481,273
0.3,0.22,0.08,516,320
0.28,0.22,0.06,552,373
0.31,0.23,0.08,595,448
0.22,0.14,0.08,498,435
0.19,0.13,0.06,473,421
0.19,0.12,0.07,448,409
0.17,0.11,0.06,423,399
0.17,0.11,0.06,388,388
0.14,0.1,0.04,358,382
0.14,0.08,0.06,327,379
0.14,0.04,0.1,307,394
0.39,0.3,0.09,32,278
0.36,0.27,0.09,52,296
0.33,0.24,0.09,56,333
0.31,0.24,0.07,40,388
0.33,0.24,0.09,27,359
0.31,0.22,0.09,46,381
0.28,0.21,0.07,60,407
0.33,0.2,0.13,60,455
0.78,0.6,0.18,573,52
0.79,0.59,0.2,528,40
0.81,0.59,0.22,492,32
0.85,0.59,0.26,448,24
0.85,0.59,0.26,413,20
0.86,0.59,0.27,362,15
0.87,0.59,0.28,319,14
0.87,0.6,0.27,276,15
0.86,0.59,0.27,233,17
0.84,0.55,0.29,190,24
0.77,0.5,0.27,160,47
0.7,0.45,0.25,154,74
0.63,0.42,0.21,147,104
0.55,0.38,0.17,140,136
0.49,0.34,0.15,132,171
0.42,0.29,0.13,123,209
0.36,0.26,0.1,113,251
0.33,0.23,0.1,102,297
0.28,0.21,0.07,90,349
0.28,0.2,0.08,79,394
0.45,0.33,0.12,29,236
0.41,0.31,0.1,52,252
0.36,0.26,0.1,86,283
0.3,0.22,0.08,115,315
0.26,0.15,0.11,141,353
0.22,0.1,0.12,175,418
0.43,0.36,0.07,27,241
0.45,0.35,0.1,65,224
0.45,0.32,0.13,94,214
0.42,0.3,0.12,99,233
0.36,0.27,0.09,87,278
0.31,0.23,0.08,74,328
0.3,0.22,0.08,59,383
0.62,0.5,0.12,602,127
0.62,0.49,0.13,568,115
0.64,0.49,0.15,526,102
0.66,0.48,0.18,476,90
0.68,0.48,0.2,435,82
0.7,0.48,0.22,395,77
0.71,0.48,0.23,355,73
0.7,0.48,0.22,322,72
0.71,0.48,0.23,283,72
0.7,0.49,0.21,251,74
0.69,0.49,0.2,210,78
0.68,0.5,0.18,170,84
0.66,0.5,0.16,137,91
0.65,0.51,0.14,95,101
0.63,0.52,0.11,52,114
0.64,0.51,0.13,33,114
0.65,0.51,0.14,87,96
0.66,0.51,0.15,125,86
0.69,0.5,0.19,162,78
0.71,0.5,0.21,213,69
0.73,0.5,0.23,257,64
0.73,0.5,0.23,290,62
0.73,0.5,0.23,330,62
0.73,0.5,0.23,368,64
0.72,0.5,0.22,397,66
0.71,0.51,0.2,433,70
0.69,0.51,0.18,472,76
0.68,0.52,0.16,513,86
0.66,0.53,0.13,551,95
0.64,0.53,0.11,588,106
0.28,0.23,0.05,595,401
0.28,0.22,0.06,565,381
0.26,0.21,0.05,535,363
0.24,0.2,0.04,506,347
0.22,0.19,0.03,476,334
0.22,0.19,0.03,447,323
0.22,0.18,0.04,418,314
0.22,0.18,0.04,389,308
0.22,0.18,0.04,365,303
0.22,0.18,0.04,336,300
0.22,0.18,0.04,308,299
0.22,0.19,0.03,279,300
0.22,0.2,0.02,249,303
0.22,0.2,0.02,220,308
0.22,0.21,0.01,191,315
0.24,0.2,0.04,164,323
0.22,0.19,0.03,189,315
0.22,0.19,0.03,218,309
0.22,0.18,0.04,247,303
0.22,0.18,0.04,276,301
0.22,0.18,0.04,305,299
0.22,0.18,0.04,328,300
0.22,0.18,0.04,354,301
0.22,0.19,0.03,376,303
0.22,0.19,0.03,402,307
0.24,0.2,0.04,423,311
0.22,0.21,0.01,444,316
0.24,0.22,0.02,470,324
0.24,0.23,0.01,495,333
0.24,0.24,0.0,516,342
0.26,0.24,0.02,545,357
0.28,0.26,0.02,575,375
0.28,0.27,0.01,606,397
0.28,0.23,0.05,589,386
0.28,0.22,0.06,553,362
0.26,0.21,0.05,524,346
0.24,0.2,0.04,499,334
0.24,0.2,0.04,470,322
0.24,0.19,0.05,434,309
0.24,0.19,0.05,404,301
0.22,0.19,0.03,375,296
0.22,0.19,0.03,345,292
0.22,0.19,0.03,317,291
0.22,0.19,0.03,291,292
0.22,0.19,0.03,259,296
0.22,0.2,0.02,235,302
0.22,0.21,0.01,210,308
0.24,0.22,0.02,181,316
0.24,0.21,0.03,151,326
0.24,0.19,0.05,124,344
0.22,0.15,0.07,129,372
0.19,0.12,0.07,146,403
0.19,0.1,0.09,161,438
0.45,0.4,0.05,605,205
0.46,0.37,0.09,566,188
0.43,0.32,0.11,532,191
0.41,0.29,0.12,502,207
0.36,0.26,0.1,473,227
0.31,0.21,0.1,439,254
0.26,0.15,0.11,396,298
0.19,0.1,0.09,359,345
0.19,0.05,0.14,334,384
0.22,0.17,0.05,536,427
0.22,0.16,0.06,514,413
0.19,0.15,0.04,489,399
0.19,0.14,0.05,468,389
0.17,0.14,0.03,436,376
0.17,0.13,0.04,415,368
0.17,0.13,0.04,383,360
0.17,0.13,0.04,357,355
0.17,0.1,0.07,330,353
0.14,0.04,0.1,300,378
0.38,0.28,0.1,45,278
0.35,0.25,0.1,66,298
0.31,0.22,0.09,85,320
0.3,0.19,0.11,103,345
0.26,0.17,0.09,121,372
0.24,0.14,0.1,137,403
0.24,0.12,0.12,151,438
0.31,0.28,0.03,600,338
0.31,0.28,0.03,579,325
0.31,0.28,0.03,578,325
0.31,0.28,0.03,577,324
0.31,0.28,0.03,576,324
0.31,0.28,0.03,575,324
0.31,0.28,0.03,574,323
0.31,0.28,0.03,573,323
0.3,0.27,0.03,573,323
0.31,0.27,0.04,572,323
0.31,0.27,0.04,570,322
0.31,0.27,0.04,569,322
0.31,0.27,0.04,568,321
0.31,0.27,0.04,567,321
0.31,0.27,0.04,565,320
0.31,0.27,0.04,564,320
0.3,0.27,0.03,562,319
0.31,0.27,0.04,560,318
0.3,0.27,0.03,557,318
0.3,0.26,0.04,554,317
0.3,0.26,0.04,552,315
0.3,0.26,0.04,548,314
0.3,0.26,0.04,545,313
0.3,0.26,0.04,541,312
0.3,0.26,0.04,536,310
0.3,0.25,0.05,531,308
0.3,0.25,0.05,524,306
0.3,0.24,0.06,514,303
0.28,0.24,0.04,495,296
0.28,0.23,0.05,479,291
0.28,0.22,0.06,471,291
0.26,0.22,0.04,455,290
0.26,0.22,0.04,438,290
0.26,0.22,0.04,440,293
0.26,0.23,0.03,470,303
0.26,0.24,0.02,501,316
0.28,0.25,0.03,532,330
0.28,0.26,0.02,557,344
0.3,0.27,0.03,588,363
0.6,0.43,0.17,609,150
0.55,0.39,0.16,576,159
0.52,0.35,0.17,544,172
0.48,0.33,0.15,514,187
0.45,0.29,0.16,489,200
0.39,0.25,0.14,460,220
0.33,0.22,0.11,431,243
0.3,0.21,0.09,402,270
0.26,0.2,0.06,378,280
0.26,0.2,0.06,349,276
0.26,0.21,0.05,318,275
0.26,0.21,0.05,282,275
0.26,0.22,0.04,252,278
0.26,0.23,0.03,215,283
0.26,0.24,0.02,185,290
0.26,0.25,0.01,148,302
0.26,0.26,0.0,117,314
0.28,0.27,0.01,86,328
0.28,0.28,0.0,54,344
0.5,0.4,0.1,51,190
0.52,0.39,0.13,98,173
0.52,0.38,0.14,136,162
0.53,0.38,0.15,174,153
0.55,0.38,0.17,208,147
0.58,0.38,0.2,241,142
0.58,0.35,0.23,267,138
0.55,0.32,0.23,271,150
0.49,0.29,0.2,233,180
0.41,0.27,0.14,195,215
0.36,0.26,0.1,156,255
0.31,0.24,0.07,117,302
0.3,0.24,0.06,76,356
0.31,0.25,0.06,35,419
0.75,0.59,0.16,573,60
0.77,0.58,0.19,537,50
0.79,0.58,0.21,502,42
0.8,0.58,0.22,467,35
0.81,0.58,0.23,432,30
0.84,0.57,0.27,398,26
0.86,0.58,0.28,355,23
0.86,0.58,0.28,313,21
0.87,0.58,0.29,270,22
0.85,0.59,0.26,228,25
0.85,0.59,0.26,184,30
0.84,0.6,0.24,150,36
0.81,0.61,0.2,106,45
0.79,0.62,0.17,61,56
0.79,0.59,0.2,33,51
0.77,0.55,0.22,67,59
0.72,0.51,0.21,100,68
0.69,0.5,0.19,131,80
0.66,0.51,0.15,140,89
0.64,0.52,0.12,99,99
0.63,0.52,0.11,57,111
0.62,0.51,0.11,16,127
0.42,0.36,0.06,54,222
0.43,0.35,0.08,84,211
0.45,0.35,0.1,128,196
0.45,0.34,0.11,165,186
0.46,0.34,0.12,201,179
0.45,0.33,0.12,236,174
0.48,0.33,0.15,268,170
0.5,0.33,0.17,306,167
0.52,0.34,0.18,315,168
0.49,0.34,0.15,280,168
0.48,0.34,0.14,245,171
0.46,0.35,0.11,210,176
